,Web ID,Region of Incident,Reported Date,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Location Coordinates,Migration Route,URL,UNSD Geographical Grouping,Source Quality
4676,44478,Africa,31-Mar-16,2016,Mar,2.0,,2,,,,,Extended Sickness,"Tripoli, Libya",MHub,"32.891822115566, 13.205071210156",,,Northern Africa,2
4677,44480,Africa,31-Mar-16,2016,Mar,2.0,,2,,,,,Dehydration,"Sabha, Libya",MHub,"26.879860255674, 14.780586100000",,,Northern Africa,2
4678,44482,Africa,31-Mar-16,2016,Mar,2.0,,2,,,,,Violence,"Subratha, Libya",MHub,"32.781101600000, 12.449522100000",,,Northern Africa,2
4679,44484,Africa,31-Mar-16,2016,Mar,3.0,,3,,,,,Dehydration,"Unspecified location, Algeria",MHub,"23.846362958884, 3.988727562500",,,Northern Africa,2
4680,42767,Central America,30-Mar-16,2016,Mar,1.0,,1,,,1.0,,Vehicle Accident,"Mexico-US border, Santa Cruz County, Arizona",canalestrellatv,"31.364901400000, -111.067138900000",Central America to US,http://bit.ly/2gDN5Ub,Northern America,1
4681,42948,Mediterranean,30-Mar-16,2016,Mar,,90.0,90,30.0,,,,Drowning,"near Sabratha, Libya","Reuters, IOM Italy","32.770354400000, 12.376176000000",Central Mediterranean,http://reut.rs/1RrLT2f,Uncategorized,4
4682,43185,Africa,29-Mar-16,2016,Mar,3.0,,3,,,,,Extended Sickness,"Aswan desert, Egypt",Mixed Migration Monitoring Mechanism Initiative (4Mi),"23.459686000000, 30.665449400000",,,Northern Africa,2
4683,42514,Middle East,28-Mar-16,2016,Mar,1.0,,1,,,1.0,,Physical and Sexual Abuse,"Syrian/Turkish border, Ain al-Kawakh near the Khurbat al-Juz-Güveççi border crossing",Human Rights Watch,"36.732184400000, 36.613272300000",,http://bit.ly/1Wm8lNP,Western Asia,4
4684,42960,Mediterranean,28-Mar-16,2016,Mar,,84.0,84,1.0,,,,Drowning,off the coast of Libya,IOM Italy,"33.416533100000, 16.230191400000",Central Mediterranean,,Uncategorized,4
4685,44778,Central America,28-Mar-16,2016,Mar,2.0,,2,4.0,,,,Vehicle Accident,"Interstate 8 near Andrade, California","Sonoran News, The Guardian","32.744104143579, -114.725059343410",Central America to US,"https://bit.ly/2KAFi6a, https://docs.google.com/spreadsheets/d/1tMr7v1t_XUpe4gonpCEg92s8lzeGEpzamsGFvFenY7I/edit#gid=682861705",Northern America,3
4686,42501,Central America,27-Mar-16,2016,Mar,1.0,,1,,,,,Unknown,"ranch in Falfurrias, Hidalgo County, Texas",La Tarde,"26.376354000000, -98.383347700000",Central America to US,http://bit.ly/1VDljEC,Northern America,1
4687,42421,Central America,26-Mar-16,2016,Mar,1.0,,1,,,1.0,,Drowning,"Rio Grande, Hidalgo County, Texas",Valley Central,"26.376354000000, -98.383347700000",Central America to US,http://bit.ly/1qrM6bn,Northern America,1
4688,42520,Mediterranean,26-Mar-16,2016,Mar,12.0,,12,,,,,Drowning,"bodies found on coast of Garabulli, Libya",Ultime Notizie,"32.791242000000, 13.702657400000",Central Mediterranean,http://bit.ly/1XVYFqj,Uncategorized,1
4689,42826,Central America,25-Mar-16,2016,Mar,1.0,,1,,,1.0,,Unknown,"San Francisco de los Romo, Aguascaliente, Mexico",El Circo,"22.074187600000, -102.277884000000",Central America to US,"http://bit.ly/2m2CSAq, http://bit.ly/2lV5lsI",Central America,3
4690,42470,Central America,24-Mar-16,2016,Mar,1.0,,1,,,1.0,,Vehicle Accident,"Yuma, Arizona",El Bravo,"32.605602700000, -114.712142500000",Central America to US,http://bit.ly/1qtWn6H,Northern America,1
4691,42561,Middle East,24-Mar-16,2016,Mar,1.0,,1,,1.0,,,Extended Sickness,Syrian/Turkish border near northern Aleppo province,Syrian Observatory for Human Rights,"36.747849600000, 36.575696700000",,http://bit.ly/28Nnkxe,Western Asia,4
4692,43184,Africa,24-Mar-16,2016,Mar,2.0,,2,,,,,Extended Sickness,"Wadi Halfa in the desert, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),"21.824075900000, 31.260625300000",,,Northern Africa,2
4693,42406,Europe,23-Mar-16,2016,Mar,2.0,,2,,,2.0,,Unknown,"Malko Tarnovo, Bulgaria (near border with Turkey)",AFP,"41.973614900000, 27.526430000000",Western Balkans,http://bit.ly/1LIXgT1,Eastern Europe,1
4694,43183,Central America,22-Mar-16,2016,Mar,1.0,,1,1.0,,1.0,,Violence,"Near El Ceibo, on federal highway El Ceibo-Tenosique, Mexico",La 72,"17.264992800000, -91.002462500000",Central America to US,,Central America,1
4695,42438,Mediterranean,21-Mar-16,2016,Mar,1.0,,1,,,1.0,1.0,Extended Sickness,"San Giovanni di Dio Hospital, Cagliari, Italy",La Nuova,"39.196440300000, 9.105426900000",Central Mediterranean,http://bit.ly/21Ipa3i,Uncategorized,1
4696,42477,Central America,21-Mar-16,2016,Mar,1.0,,1,,,1.0,,Vehicle Accident,"Km 389 on state highway Manlio Fabio Altamirando, Soledad de Doblado, Mexico",TV Noticias La Pacoyan,"19.045963400000, -96.430366800000",Central America to US,http://bit.ly/1ScFQPn,Central America,1
4697,42431,Central America,20-Mar-16,2016,Mar,1.0,,1,,1.0,,,Unknown,"near Border Patrol Checkpoint in Sarita, Kenedy County, Texas, USA",KrisTV,"26.940382100000, -97.918176800000",Central America to US,http://bit.ly/1Zqk0JF,Northern America,1
4698,42432,Central America,20-Mar-16,2016,Mar,1.0,,1,,,,,Unknown,"in Riviera, Kleberg County, Texas",KrisTV,"27.421455700000, -97.851636900000",Central America to US,http://bit.ly/1Zqk0JF,Northern America,1
4699,42433,Central America,20-Mar-16,2016,Mar,1.0,,1,,,,,Drowning,"Canal in Mission, Hidalgo County, Texas",KrisTV,"26.376354000000, -98.383347700000",Central America to US,http://bit.ly/1Zqk0JF,Northern America,1
4700,42450,Mediterranean,20-Mar-16,2016,Mar,,4.0,4,,,,,Unknown,boat arrived in Lampedusa,IOM Italy,"35.497698500000, 12.602115300000",Central Mediterranean,http://bit.ly/1LDGIf9,Uncategorized,4
4701,42476,Mediterranean,20-Mar-16,2016,Mar,2.0,,2,40.0,2.0,,2.0,Unknown,"off the coast of Ro, Greece",IOM Greece,"36.155277800000, 29.495033500000",Eastern Mediterranean,http://bit.ly/1Rw4rtE,Uncategorized,4
